Comunidades_autonomas;Gastos_y_duracion_media_de_los_viajes;Tipo_de_dato;Periodo;Total
Islas Baleares;Duracion media de los viajes;Dato base;2018M04;5.96
Islas Baleares;Duracion media de los viajes;Dato base;2018M03;6.9
Islas Baleares;Duracion media de los viajes;Dato base;2018M02;7.85
Islas Baleares;Duracion media de los viajes;Dato base;2018M01;8.36
Islas Baleares;Duracion media de los viajes;Dato base;2017M12;9.45
Islas Baleares;Duracion media de los viajes;Dato base;2017M11;8.3
Islas Baleares;Duracion media de los viajes;Dato base;2017M10;8.09
Islas Baleares;Duracion media de los viajes;Dato base;2017M09;7.25
Islas Baleares;Duracion media de los viajes;Dato base;2017M08;8.18
Islas Baleares;Duracion media de los viajes;Dato base;2017M07;7.45
Islas Baleares;Duracion media de los viajes;Dato base;2017M06;7.01
Islas Baleares;Duracion media de los viajes;Dato base;2017M05;6.35
Islas Baleares;Duracion media de los viajes;Dato base;2017M04;6.58
Islas Baleares;Duracion media de los viajes;Dato base;2017M03;6.61
Islas Baleares;Duracion media de los viajes;Dato base;2017M02;6.97
Islas Baleares;Duracion media de los viajes;Dato base;2017M01;8.36
Islas Baleares;Duracion media de los viajes;Dato base;2016M12;10.46
Islas Baleares;Duracion media de los viajes;Dato base;2016M11;6.78
Islas Baleares;Duracion media de los viajes;Dato base;2016M10;7.99
Islas Baleares;Duracion media de los viajes;Dato base;2016M09;7.25
Islas Baleares;Duracion media de los viajes;Dato base;2016M08;7.9
Islas Baleares;Duracion media de los viajes;Dato base;2016M07;7.35
Islas Baleares;Duracion media de los viajes;Dato base;2016M06;7.03
Islas Baleares;Duracion media de los viajes;Dato base;2016M05;6.43
Islas Baleares;Duracion media de los viajes;Dato base;2016M04;6.67
Islas Baleares;Duracion media de los viajes;Dato base;2016M03;7.03
Islas Baleares;Duracion media de los viajes;Dato base;2016M02;7.9
Islas Baleares;Duracion media de los viajes;Dato base;2016M01;8.71
Islas Baleares;Duracion media de los viajes;Dato base;2015M12;9.62
Islas Baleares;Duracion media de los viajes;Dato base;2015M11;10.06
Islas Baleares;Duracion media de los viajes;Dato base;2015M10;8.12
Islas Canarias;Gasto total;Dato base;2020M03;611.28
Islas Canarias;Gasto total;Dato base;2020M02;1418.17
Islas Canarias;Gasto total;Dato base;2020M01;1422.75
Islas Canarias;Gasto total;Dato base;2019M12;1492.12
Islas Canarias;Gasto total;Dato base;2019M11;1482.25
Islas Canarias;Gasto total;Dato base;2019M10;1428.33
Islas Canarias;Gasto total;Dato base;2019M09;1226.19
Islas Canarias;Gasto total;Dato base;2019M08;1495.79
Islas Canarias;Gasto total;Dato base;2019M07;1489.34
Islas Canarias;Gasto total;Dato base;2019M06;1137.66
Islas Canarias;Gasto total;Dato base;2019M05;1070.12
Islas Canarias;Gasto total;Dato base;2019M04;1388.57
Islas Canarias;Gasto total;Dato base;2019M03;1743.75
Islas Canarias;Gasto total;Dato base;2019M02;1445.74
Islas Canarias;Gasto total;Dato base;2019M01;1465.22
Islas Canarias;Gasto total;Dato base;2018M12;1630.73
Islas Canarias;Gasto total;Dato base;2018M11;1493.28
Islas Canarias;Gasto total;Dato base;2018M10;1521.29
Islas Canarias;Gasto total;Dato base;2018M09;1318.3
Islas Canarias;Gasto total;Dato base;2018M08;1514.7
Islas Canarias;Gasto total;Dato base;2018M07;1528.22
Islas Canarias;Gasto total;Dato base;2018M06;1167.32
Islas Canarias;Gasto total;Dato base;2018M05;1166.2
Islas Canarias;Gasto total;Dato base;2018M04;1295.13
Islas Canarias;Gasto total;Dato base;2018M03;1611.31
Islas Canarias;Gasto total;Dato base;2018M02;1418.82
Islas Canarias;Gasto total;Dato base;2018M01;1446.97
Islas Canarias;Gasto total;Dato base;2017M12;1539.42
Islas Canarias;Gasto total;Dato base;2017M11;1511.15
Islas Canarias;Gasto total;Dato base;2017M10;1527.06
Islas Canarias;Gasto total;Dato base;2017M09;1287.18
Islas Canarias;Gasto total;Dato base;2017M08;1517.05
Islas Canarias;Gasto total;Dato base;2017M07;1493.93
Islas Canarias;Gasto total;Dato base;2017M06;1113.06
Islas Canarias;Gasto total;Dato base;2017M05;1120.45
Islas Canarias;Gasto total;Dato base;2017M04;1347.77
Islas Canarias;Gasto total;Dato base;2017M03;1510.69
Islas Canarias;Gasto total;Dato base;2017M02;1400.1
Islas Canarias;Gasto total;Dato base;2017M01;1415.72
Islas Canarias;Gasto total;Dato base;2016M12;1477.69
Islas Canarias;Gasto total;Dato base;2016M11;1314.59
Islas Canarias;Gasto total;Dato base;2016M10;1437.55
Islas Canarias;Gasto total;Dato base;2016M09;1126.13
Islas Canarias;Gasto total;Dato base;2016M08;1351.88
Islas Canarias;Gasto total;Dato base;2016M07;1362.79
Islas Canarias;Gasto total;Dato base;2016M06;992.78
Islas Canarias;Gasto total;Dato base;2016M05;981.78
Islas Canarias;Gasto total;Dato base;2016M04;1122.64
Islas Canarias;Gasto total;Dato base;2016M03;1368.6
Islas Canarias;Gasto total;Dato base;2016M02;1261.36
Islas Canarias;Gasto total;Dato base;2016M01;1272.47
Islas Canarias;Gasto total;Dato base;2015M12;1198.24
Islas Canarias;Gasto total;Dato base;2015M11;1244.74
Islas Canarias;Gasto total;Dato base;2015M10;1149.71
Islas Canarias;Gasto medio por persona;Dato base;2020M03;1329
Islas Canarias;Gasto medio por persona;Dato base;2020M02;1211
Islas Canarias;Gasto medio por persona;Dato base;2020M01;1292
Islas Canarias;Gasto medio por persona;Dato base;2019M12;1243
Islas Canarias;Gasto medio por persona;Dato base;2019M11;1263
Islas Canarias;Gasto medio por persona;Dato base;2019M10;1249
Islas Canarias;Gasto medio por persona;Dato base;2019M09;1288
Islas Canarias;Gasto medio por persona;Dato base;2019M08;1438
Islas Canarias;Gasto medio por persona;Dato base;2019M07;1444
Islas Canarias;Gasto medio por persona;Dato base;2019M06;1221
Islas Canarias;Gasto medio por persona;Dato base;2019M05;1204
Islas Canarias;Gasto medio por persona;Dato base;2019M04;1256
Islas Canarias;Gasto medio por persona;Dato base;2019M03;1301
Islas Canarias;Gasto medio por persona;Dato base;2019M02;1226
Islas Canarias;Gasto medio por persona;Dato base;2019M01;1264
Islas Canarias;Gasto medio por persona;Dato base;2018M12;1298
Islas Canarias;Gasto medio por persona;Dato base;2018M11;1261
Islas Canarias;Gasto medio por persona;Dato base;2018M10;1210
Islas Canarias;Gasto medio por persona;Dato base;2018M09;1269
Islas Canarias;Gasto medio por persona;Dato base;2018M08;1379
Islas Canarias;Gasto medio por persona;Dato base;2018M07;1364
Islas Canarias;Gasto medio por persona;Dato base;2018M06;1166
Islas Canarias;Gasto medio por persona;Dato base;2018M05;1206
Islas Canarias;Gasto medio por persona;Dato base;2018M04;1174
Islas Canarias;Gasto medio por persona;Dato base;2018M03;1196
Islas Canarias;Gasto medio por persona;Dato base;2018M02;1189
Islas Canarias;Gasto medio por persona;Dato base;2018M01;1223
Islas Canarias;Gasto medio por persona;Dato base;2017M12;1225
Islas Canarias;Gasto medio por persona;Dato base;2017M11;1219
Islas Canarias;Gasto medio por persona;Dato base;2017M10;1166
Islas Canarias;Gasto medio por persona;Dato base;2017M09;1158
Islas Canarias;Gasto medio por persona;Dato base;2017M08;1301
Islas Canarias;Gasto medio por persona;Dato base;2017M07;1259
Islas Canarias;Gasto medio por persona;Dato base;2017M06;1076
Islas Canarias;Gasto medio por persona;Dato base;2017M05;1128
Islas Canarias;Gasto medio por persona;Dato base;2017M04;1074
Islas Canarias;Gasto medio por persona;Dato base;2017M03;1177
Islas Canarias;Gasto medio por persona;Dato base;2017M02;1183
Islas Canarias;Gasto medio por persona;Dato base;2017M01;1186
Islas Canarias;Gasto medio por persona;Dato base;2016M12;1182
Islas Canarias;Gasto medio por persona;Dato base;2016M11;1131
Islas Canarias;Gasto medio por persona;Dato base;2016M10;1132
Islas Canarias;Gasto medio por persona;Dato base;2016M09;1133
Islas Canarias;Gasto medio por persona;Dato base;2016M08;1216
Islas Canarias;Gasto medio por persona;Dato base;2016M07;1195
Islas Canarias;Gasto medio por persona;Dato base;2016M06;1060
Islas Canarias;Gasto medio por persona;Dato base;2016M05;1092
Islas Canarias;Gasto medio por persona;Dato base;2016M04;1054
Islas Canarias;Gasto medio por persona;Dato base;2016M03;1135
Islas Canarias;Gasto medio por persona;Dato base;2016M02;1132
Islas Canarias;Gasto medio por persona;Dato base;2016M01;1148
Islas Canarias;Gasto medio por persona;Dato base;2015M12;1137
Islas Canarias;Gasto medio por persona;Dato base;2015M11;1128
Islas Canarias;Gasto medio por persona;Dato base;2015M10;1051
Islas Canarias;Gasto medio diario por persona;Dato base;2020M03;148
Islas Canarias;Gasto medio diario por persona;Dato base;2020M02;158
Islas Canarias;Gasto medio diario por persona;Dato base;2020M01;152
Islas Canarias;Gasto medio diario por persona;Dato base;2019M12;152
Islas Canarias;Gasto medio diario por persona;Dato base;2019M11;157
Islas Canarias;Gasto medio diario por persona;Dato base;2019M10;149
Islas Canarias;Gasto medio diario por persona;Dato base;2019M09;149
Islas Canarias;Gasto medio diario por persona;Dato base;2019M08;158
Islas Canarias;Gasto medio diario por persona;Dato base;2019M07;162
Islas Canarias;Gasto medio diario por persona;Dato base;2019M06;149
Islas Canarias;Gasto medio diario por persona;Dato base;2019M05;152
Islas Canarias;Gasto medio diario por persona;Dato base;2019M04;146
Islas Canarias;Gasto medio diario por persona;Dato base;2019M03;143
Islas Canarias;Gasto medio diario por persona;Dato base;2019M02;144
Islas Canarias;Gasto medio diario por persona;Dato base;2019M01;145
Islas Canarias;Gasto medio diario por persona;Dato base;2018M12;147
Islas Canarias;Gasto medio diario por persona;Dato base;2018M11;152
Islas Canarias;Gasto medio diario por persona;Dato base;2018M10;144
Islas Canarias;Gasto medio diario por persona;Dato base;2018M09;143
Islas Canarias;Gasto medio diario por persona;Dato base;2018M08;156
Islas Canarias;Gasto medio diario por persona;Dato base;2018M07;156
Islas Canarias;Gasto medio diario por persona;Dato base;2018M06;147
Islas Canarias;Gasto medio diario por persona;Dato base;2018M05;142
Islas Canarias;Gasto medio diario por persona;Dato base;2018M04;142
Islas Canarias;Gasto medio diario por persona;Dato base;2018M03;139
Islas Canarias;Gasto medio diario por persona;Dato base;2018M02;139
Islas Canarias;Gasto medio diario por persona;Dato base;2018M01;143
Islas Canarias;Gasto medio diario por persona;Dato base;2017M12;141
Islas Canarias;Gasto medio diario por persona;Dato base;2017M11;143
Islas Canarias;Gasto medio diario por persona;Dato base;2017M10;141
Islas Canarias;Gasto medio diario por persona;Dato base;2017M09;136
Islas Canarias;Gasto medio diario por persona;Dato base;2017M08;140
Islas Canarias;Gasto medio diario por persona;Dato base;2017M07;148
Islas Canarias;Gasto medio diario por persona;Dato base;2017M06;133
Islas Canarias;Gasto medio diario por persona;Dato base;2017M05;137
Islas Canarias;Gasto medio diario por persona;Dato base;2017M04;130
Islas Canarias;Gasto medio diario por persona;Dato base;2017M03;141
Islas Canarias;Gasto medio diario por persona;Dato base;2017M02;128
Islas Canarias;Gasto medio diario por persona;Dato base;2017M01;134
Islas Canarias;Gasto medio diario por persona;Dato base;2016M12;128
Islas Canarias;Gasto medio diario por persona;Dato base;2016M11;136
Islas Canarias;Gasto medio diario por persona;Dato base;2016M10;136
Islas Canarias;Gasto medio diario por persona;Dato base;2016M09;130
Islas Canarias;Gasto medio diario por persona;Dato base;2016M08;128
Islas Canarias;Gasto medio diario por persona;Dato base;2016M07;139
Islas Canarias;Gasto medio diario por persona;Dato base;2016M06;128
Islas Canarias;Gasto medio diario por persona;Dato base;2016M05;131
Islas Canarias;Gasto medio diario por persona;Dato base;2016M04;121
Islas Canarias;Gasto medio diario por persona;Dato base;2016M03;128
Islas Canarias;Gasto medio diario por persona;Dato base;2016M02;128
Islas Canarias;Gasto medio diario por persona;Dato base;2016M01;129
Islas Canarias;Gasto medio diario por persona;Dato base;2015M12;131
Islas Canarias;Gasto medio diario por persona;Dato base;2015M11;131
Islas Canarias;Gasto medio diario por persona;Dato base;2015M10;122
Islas Canarias;Duracion media de los viajes;Dato base;2020M03;8.99
Islas Canarias;Duracion media de los viajes;Dato base;2020M02;7.65
Islas Canarias;Duracion media de los viajes;Dato base;2020M01;8.48
Islas Canarias;Duracion media de los viajes;Dato base;2019M12;8.2
Islas Canarias;Duracion media de los viajes;Dato base;2019M11;8.06
Islas Canarias;Duracion media de los viajes;Dato base;2019M10;8.36
Islas Canarias;Duracion media de los viajes;Dato base;2019M09;8.62
Islas Canarias;Duracion media de los viajes;Dato base;2019M08;9.09
Islas Canarias;Duracion media de los viajes;Dato base;2019M07;8.92
Islas Canarias;Duracion media de los viajes;Dato base;2019M06;8.18
Islas Canarias;Duracion media de los viajes;Dato base;2019M05;7.92
Islas Canarias;Duracion media de los viajes;Dato base;2019M04;8.6
Islas Canarias;Duracion media de los viajes;Dato base;2019M03;9.12
Islas Canarias;Duracion media de los viajes;Dato base;2019M02;8.53
Islas Canarias;Duracion media de los viajes;Dato base;2019M01;8.72
Islas Canarias;Duracion media de los viajes;Dato base;2018M12;8.82
Islas Canarias;Duracion media de los viajes;Dato base;2018M11;8.28
Islas Canarias;Duracion media de los viajes;Dato base;2018M10;8.37
Islas Canarias;Duracion media de los viajes;Dato base;2018M09;8.85
Islas Canarias;Duracion media de los viajes;Dato base;2018M08;8.83
Islas Canarias;Duracion media de los viajes;Dato base;2018M07;8.73
Islas Canarias;Duracion media de los viajes;Dato base;2018M06;7.95
Islas Canarias;Duracion media de los viajes;Dato base;2018M05;8.46
Islas Canarias;Duracion media de los viajes;Dato base;2018M04;8.26
Islas Canarias;Duracion media de los viajes;Dato base;2018M03;8.58
Islas Canarias;Duracion media de los viajes;Dato base;2018M02;8.58
Islas Canarias;Duracion media de los viajes;Dato base;2018M01;8.52
Islas Canarias;Duracion media de los viajes;Dato base;2017M12;8.67
Islas Canarias;Duracion media de los viajes;Dato base;2017M11;8.52
Islas Canarias;Duracion media de los viajes;Dato base;2017M10;8.25
Islas Canarias;Duracion media de los viajes;Dato base;2017M09;8.49
Islas Canarias;Duracion media de los viajes;Dato base;2017M08;9.27
Islas Canarias;Duracion media de los viajes;Dato base;2017M07;8.5
Islas Canarias;Duracion media de los viajes;Dato base;2017M06;8.06
Islas Canarias;Duracion media de los viajes;Dato base;2017M05;8.25
Islas Canarias;Duracion media de los viajes;Dato base;2017M04;8.29
Islas Canarias;Duracion media de los viajes;Dato base;2017M03;8.32
Islas Canarias;Duracion media de los viajes;Dato base;2017M02;9.26
Islas Canarias;Duracion media de los viajes;Dato base;2017M01;8.88
Islas Canarias;Duracion media de los viajes;Dato base;2016M12;9.2
Islas Canarias;Duracion media de los viajes;Dato base;2016M11;8.31
Islas Canarias;Duracion media de los viajes;Dato base;2016M10;8.32
Islas Canarias;Duracion media de los viajes;Dato base;2016M09;8.73
Islas Canarias;Duracion media de los viajes;Dato base;2016M08;9.5
Islas Canarias;Duracion media de los viajes;Dato base;2016M07;8.59
Islas Canarias;Duracion media de los viajes;Dato base;2016M06;8.28
Islas Canarias;Duracion media de los viajes;Dato base;2016M05;8.32
Islas Canarias;Duracion media de los viajes;Dato base;2016M04;8.72
Islas Canarias;Duracion media de los viajes;Dato base;2016M03;8.88
Islas Canarias;Duracion media de los viajes;Dato base;2016M02;8.83
Islas Canarias;Duracion media de los viajes;Dato base;2016M01;8.89
Islas Canarias;Duracion media de los viajes;Dato base;2015M12;8.69
Islas Canarias;Duracion media de los viajes;Dato base;2015M11;8.63
Islas Canarias;Duracion media de los viajes;Dato base;2015M10;8.62
Catalunya;Gasto total;Dato base;2020M03;416.16
Catalunya;Gasto total;Dato base;2020M02;974.95
Catalunya;Gasto total;Dato base;2020M01;904.38
Catalunya;Gasto total;Dato base;2019M12;1074.95
Catalunya;Gasto total;Dato base;2019M11;968.01
Catalunya;Gasto total;Dato base;2019M10;1875.71
Catalunya;Gasto total;Dato base;2019M09;2277.01
Catalunya;Gasto total;Dato base;2019M08;2781.03
Catalunya;Gasto total;Dato base;2019M07;2999.03
Catalunya;Gasto total;Dato base;2019M06;2497.52
Catalunya;Gasto total;Dato base;2019M05;2003.13
Catalunya;Gasto total;Dato base;2019M04;1653.45
Catalunya;Gasto total;Dato base;2019M03;1238.47
Catalunya;Gasto total;Dato base;2019M02;1013.9
Catalunya;Gasto total;Dato base;2019M01;943.9
Catalunya;Gasto total;Dato base;2018M12;1062.14
Catalunya;Gasto total;Dato base;2018M11;1017.12
Catalunya;Gasto total;Dato base;2018M10;1710.04
Catalunya;Gasto total;Dato base;2018M09;2185.81
Catalunya;Gasto total;Dato base;2018M08;2726.27
Catalunya;Gasto total;Dato base;2018M07;2900.18
Catalunya;Gasto total;Dato base;2018M06;2385.91
Catalunya;Gasto total;Dato base;2018M05;1905.15
Catalunya;Gasto total;Dato base;2018M04;1512.09
Catalunya;Gasto total;Dato base;2018M03;1145.32
Catalunya;Gasto total;Dato base;2018M02;1023.49
Catalunya;Gasto total;Dato base;2018M01;904.24
Catalunya;Gasto total;Dato base;2017M12;877.47
Catalunya;Gasto total;Dato base;2017M11;928.63
Catalunya;Gasto total;Dato base;2017M10;1549.21
Catalunya;Gasto total;Dato base;2017M09;2170.24
Catalunya;Gasto total;Dato base;2017M08;2654.65
Catalunya;Gasto total;Dato base;2017M07;2805.82
Catalunya;Gasto total;Dato base;2017M06;2113.55
Catalunya;Gasto total;Dato base;2017M05;1820
Catalunya;Gasto total;Dato base;2017M04;1499.69
Catalunya;Gasto total;Dato base;2017M03;1057.89
Catalunya;Gasto total;Dato base;2017M02;926.77
Catalunya;Gasto total;Dato base;2017M01;820.18
Catalunya;Gasto total;Dato base;2016M12;940.18
Catalunya;Gasto total;Dato base;2016M11;977.77
Catalunya;Gasto total;Dato base;2016M10;1467.1
Catalunya;Gasto total;Dato base;2016M09;2039.46
Catalunya;Gasto total;Dato base;2016M08;2401.5
Catalunya;Gasto total;Dato base;2016M07;2510.37
Catalunya;Gasto total;Dato base;2016M06;1786.82
Catalunya;Gasto total;Dato base;2016M05;1528.96
Catalunya;Gasto total;Dato base;2016M04;1223.54
Catalunya;Gasto total;Dato base;2016M03;928.09
Catalunya;Gasto total;Dato base;2016M02;832.11
Catalunya;Gasto total;Dato base;2016M01;830.87
Catalunya;Gasto total;Dato base;2015M12;867.26
Catalunya;Gasto total;Dato base;2015M11;963.89
Catalunya;Gasto total;Dato base;2015M10;1392.79
Catalunya;Gasto medio por persona;Dato base;2020M03;1023
Catalunya;Gasto medio por persona;Dato base;2020M02;1011
Catalunya;Gasto medio por persona;Dato base;2020M01;1041
Catalunya;Gasto medio por persona;Dato base;2019M12;1082
Catalunya;Gasto medio por persona;Dato base;2019M11;922
Catalunya;Gasto medio por persona;Dato base;2019M10;1109
Catalunya;Gasto medio por persona;Dato base;2019M09;1132
Catalunya;Gasto medio por persona;Dato base;2019M08;1179
Catalunya;Gasto medio por persona;Dato base;2019M07;1262
Catalunya;Gasto medio por persona;Dato base;2019M06;1161
Catalunya;Gasto medio por persona;Dato base;2019M05;1094
Catalunya;Gasto medio por persona;Dato base;2019M04;986
Catalunya;Gasto medio por persona;Dato base;2019M03;967
Catalunya;Gasto medio por persona;Dato base;2019M02;984
Catalunya;Gasto medio por persona;Dato base;2019M01;1037
Catalunya;Gasto medio por persona;Dato base;2018M12;1096
Catalunya;Gasto medio por persona;Dato base;2018M11;983
Catalunya;Gasto medio por persona;Dato base;2018M10;1027
Catalunya;Gasto medio por persona;Dato base;2018M09;1089
Catalunya;Gasto medio por persona;Dato base;2018M08;1120
Catalunya;Gasto medio por persona;Dato base;2018M07;1195
Catalunya;Gasto medio por persona;Dato base;2018M06;1134
Catalunya;Gasto medio por persona;Dato base;2018M05;1010
Catalunya;Gasto medio por persona;Dato base;2018M04;963
Catalunya;Gasto medio por persona;Dato base;2018M03;941
Catalunya;Gasto medio por persona;Dato base;2018M02;1008
Catalunya;Gasto medio por persona;Dato base;2018M01;1046
Catalunya;Gasto medio por persona;Dato base;2017M12;1066
Catalunya;Gasto medio por persona;Dato base;2017M11;946
Catalunya;Gasto medio por persona;Dato base;2017M10;1035
Catalunya;Gasto medio por persona;Dato base;2017M09;1085
Catalunya;Gasto medio por persona;Dato base;2017M08;1034
Catalunya;Gasto medio por persona;Dato base;2017M07;1097
Catalunya;Gasto medio por persona;Dato base;2017M06;1043
Catalunya;Gasto medio por persona;Dato base;2017M05;947
Catalunya;Gasto medio por persona;Dato base;2017M04;855
Catalunya;Gasto medio por persona;Dato base;2017M03;916
Catalunya;Gasto medio por persona;Dato base;2017M02;937
Catalunya;Gasto medio por persona;Dato base;2017M01;969
Catalunya;Gasto medio por persona;Dato base;2016M12;983
Catalunya;Gasto medio por persona;Dato base;2016M11;968
Catalunya;Gasto medio por persona;Dato base;2016M10;939
Catalunya;Gasto medio por persona;Dato base;2016M09;1087
Catalunya;Gasto medio por persona;Dato base;2016M08;960
Catalunya;Gasto medio por persona;Dato base;2016M07;1048
Catalunya;Gasto medio por persona;Dato base;2016M06;965
Catalunya;Gasto medio por persona;Dato base;2016M05;938
Catalunya;Gasto medio por persona;Dato base;2016M04;825
Catalunya;Gasto medio por persona;Dato base;2016M03;862
Catalunya;Gasto medio por persona;Dato base;2016M02;894
Catalunya;Gasto medio por persona;Dato base;2016M01;960
Catalunya;Gasto medio por persona;Dato base;2015M12;974
Catalunya;Gasto medio por persona;Dato base;2015M11;936
Catalunya;Gasto medio por persona;Dato base;2015M10;915
Catalunya;Gasto medio diario por persona;Dato base;2020M03;193
Catalunya;Gasto medio diario por persona;Dato base;2020M02;188
Catalunya;Gasto medio diario por persona;Dato base;2020M01;188
Catalunya;Gasto medio diario por persona;Dato base;2019M12;191
Catalunya;Gasto medio diario por persona;Dato base;2019M11;200
Catalunya;Gasto medio diario por persona;Dato base;2019M10;221
Catalunya;Gasto medio diario por persona;Dato base;2019M09;185
Catalunya;Gasto medio diario por persona;Dato base;2019M08;175
Catalunya;Gasto medio diario por persona;Dato base;2019M07;199
Catalunya;Gasto medio diario por persona;Dato base;2019M06;218
Catalunya;Gasto medio diario por persona;Dato base;2019M05;213
Catalunya;Gasto medio diario por persona;Dato base;2019M04;197
Catalunya;Gasto medio diario por persona;Dato base;2019M03;198
Catalunya;Gasto medio diario por persona;Dato base;2019M02;195
Catalunya;Gasto medio diario por persona;Dato base;2019M01;177
Catalunya;Gasto medio diario por persona;Dato base;2018M12;161
Catalunya;Gasto medio diario por persona;Dato base;2018M11;180
Catalunya;Gasto medio diario por persona;Dato base;2018M10;208
Catalunya;Gasto medio diario por persona;Dato base;2018M09;192
Catalunya;Gasto medio diario por persona;Dato base;2018M08;162
Catalunya;Gasto medio diario por persona;Dato base;2018M07;178
Catalunya;Gasto medio diario por persona;Dato base;2018M06;197
Catalunya;Gasto medio diario por persona;Dato base;2018M05;200
Catalunya;Gasto medio diario por persona;Dato base;2018M04;189
Catalunya;Gasto medio diario por persona;Dato base;2018M03;203
Catalunya;Gasto medio diario por persona;Dato base;2018M02;199
Catalunya;Gasto medio diario por persona;Dato base;2018M01;174
Catalunya;Gasto medio diario por persona;Dato base;2017M12;153
Catalunya;Gasto medio diario por persona;Dato base;2017M11;184
Catalunya;Gasto medio diario por persona;Dato base;2017M10;186
Catalunya;Gasto medio diario por persona;Dato base;2017M09;183
Catalunya;Gasto medio diario por persona;Dato base;2017M08;137
Catalunya;Gasto medio diario por persona;Dato base;2017M07;159
Catalunya;Gasto medio diario por persona;Dato base;2017M06;189
Catalunya;Gasto medio diario por persona;Dato base;2017M05;184
Catalunya;Gasto medio diario por persona;Dato base;2017M04;176
Catalunya;Gasto medio diario por persona;Dato base;2017M03;196
Catalunya;Gasto medio diario por persona;Dato base;2017M02;156
Catalunya;Gasto medio diario por persona;Dato base;2017M01;163
Catalunya;Gasto medio diario por persona;Dato base;2016M12;146
Catalunya;Gasto medio diario por persona;Dato base;2016M11;171
Catalunya;Gasto medio diario por persona;Dato base;2016M10;175
Catalunya;Gasto medio diario por persona;Dato base;2016M09;178
Catalunya;Gasto medio diario por persona;Dato base;2016M08;130
Catalunya;Gasto medio diario por persona;Dato base;2016M07;152
Catalunya;Gasto medio diario por persona;Dato base;2016M06;181
Catalunya;Gasto medio diario por persona;Dato base;2016M05;190
Catalunya;Gasto medio diario por persona;Dato base;2016M04;173
Catalunya;Gasto medio diario por persona;Dato base;2016M03;178
Catalunya;Gasto medio diario por persona;Dato base;2016M02;165
Catalunya;Gasto medio diario por persona;Dato base;2016M01;154
Catalunya;Gasto medio diario por persona;Dato base;2015M12;141
Catalunya;Gasto medio diario por persona;Dato base;2015M11;139
Catalunya;Gasto medio diario por persona;Dato base;2015M10;146
Catalunya;Duracion media de los viajes;Dato base;2020M03;5.3
Catalunya;Duracion media de los viajes;Dato base;2020M02;5.36
Catalunya;Duracion media de los viajes;Dato base;2020M01;5.54
Catalunya;Duracion media de los viajes;Dato base;2019M12;5.67
Catalunya;Duracion media de los viajes;Dato base;2019M11;4.61
Catalunya;Duracion media de los viajes;Dato base;2019M10;5.03
Catalunya;Duracion media de los viajes;Dato base;2019M09;6.11
Catalunya;Duracion media de los viajes;Dato base;2019M08;6.74
Catalunya;Duracion media de los viajes;Dato base;2019M07;6.34
Catalunya;Duracion media de los viajes;Dato base;2019M06;5.33
Catalunya;Duracion media de los viajes;Dato base;2019M05;5.13
Catalunya;Duracion media de los viajes;Dato base;2019M04;4.99
Catalunya;Duracion media de los viajes;Dato base;2019M03;4.89
Catalunya;Duracion media de los viajes;Dato base;2019M02;5.06
Catalunya;Duracion media de los viajes;Dato base;2019M01;5.87
Catalunya;Duracion media de los viajes;Dato base;2018M12;6.8
Catalunya;Duracion media de los viajes;Dato base;2018M11;5.46
Catalunya;Duracion media de los viajes;Dato base;2018M10;4.94
Catalunya;Duracion media de los viajes;Dato base;2018M09;5.66
Catalunya;Duracion media de los viajes;Dato base;2018M08;6.94
Catalunya;Duracion media de los viajes;Dato base;2018M07;6.69
Catalunya;Duracion media de los viajes;Dato base;2018M06;5.74
Catalunya;Duracion media de los viajes;Dato base;2018M05;5.04
Catalunya;Duracion media de los viajes;Dato base;2018M04;5.1
Catalunya;Duracion media de los viajes;Dato base;2018M03;4.63
Catalunya;Duracion media de los viajes;Dato base;2018M02;5.07
Catalunya;Duracion media de los viajes;Dato base;2018M01;6.02
Catalunya;Duracion media de los viajes;Dato base;2017M12;6.95
Catalunya;Duracion media de los viajes;Dato base;2017M11;5.14
Catalunya;Duracion media de los viajes;Dato base;2017M10;5.56
Catalunya;Duracion media de los viajes;Dato base;2017M09;5.93
Catalunya;Duracion media de los viajes;Dato base;2017M08;7.57
Catalunya;Duracion media de los viajes;Dato base;2017M07;6.91
Catalunya;Duracion media de los viajes;Dato base;2017M06;5.52
Catalunya;Duracion media de los viajes;Dato base;2017M05;5.14
Catalunya;Duracion media de los viajes;Dato base;2017M04;4.85
Catalunya;Duracion media de los viajes;Dato base;2017M03;4.68
Catalunya;Duracion media de los viajes;Dato base;2017M02;6
Catalunya;Duracion media de los viajes;Dato base;2017M01;5.93
Catalunya;Duracion media de los viajes;Dato base;2016M12;6.75
Catalunya;Duracion media de los viajes;Dato base;2016M11;5.67
Catalunya;Duracion media de los viajes;Dato base;2016M10;5.37
Catalunya;Duracion media de los viajes;Dato base;2016M09;6.11
Catalunya;Duracion media de los viajes;Dato base;2016M08;7.37
Catalunya;Duracion media de los viajes;Dato base;2016M07;6.89
Catalunya;Duracion media de los viajes;Dato base;2016M06;5.34
Catalunya;Duracion media de los viajes;Dato base;2016M05;4.93
Catalunya;Duracion media de los viajes;Dato base;2016M04;4.77
Catalunya;Duracion media de los viajes;Dato base;2016M03;4.85
Catalunya;Duracion media de los viajes;Dato base;2016M02;5.42
Catalunya;Duracion media de los viajes;Dato base;2016M01;6.23
